elevation,slope,roughness,terrain_score
1589.6842,51.34286,99.511475,1.0
1581.1628,52.26865,102.61206,0.9982176236311631
1571.5355,50.73213,100.15686,0.9959141579571837
1566.06,50.263065,98.19922,0.995332056361999
1607.4326,49.95648,97.55969,0.9679573669728638
1855.824,59.550533,121.215454,0.9629332375342776
1767.7921,55.203014,107.10608,0.956778027360222
1807.6195,58.19567,139.54102,0.9513768327253533
1814.9556,56.602345,114.01819,0.9506891679936902
1807.9309,54.987965,105.39221,0.9494009296600998
1822.0282,59.475735,135.97705,0.9493322563349813
1555.0055,48.739033,93.66931,0.9479533644287912
1808.0074,56.63792,125.62378,0.9457697204059063
1929.1464,55.608185,115.851074,0.9447721026311435
1848.5454,59.978287,145.92798,0.9442983485912144
1896.9569,61.03124,152.63782,0.9433216686144488
1767.0371,55.304756,120.166626,0.9353221171391692
1794.7264,57.844433,129.71033,0.9352105358218212
1917.0964,56.66197,107.71216,0.9343794617907912
1833.4352,58.6641,134.56079,0.9342863632303247
